audio_path,transcription,speaker_id,session_id,orig_start,orig_end,style,utt_id,style_bin,split,split_mixed_to_constrained_aux,split_mixed_to_constrained_aux_note,split_reverse_aux
data/audio/000000.wav,yes you are allowed,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000001.wav,oh yes,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000002.wav,you are allowed,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000003.wav,are you set,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000004.wav,one i have only one language,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000005.wav,únè̩mè̩ language,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000006.wav,and english,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000007.wav,we speak yorùbá too,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000008.wav,three languages,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000009.wav,we speak three languages,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000010.wav,úné̩mé̩ yorùbá and english,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000011.wav,émí va roro na ìkpá ké̩kó̩ yìn ivbebè,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000012.wav,ké̩kò̩ó̩ rìn vbiebe ri,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000013.wav,ójógbé kóìbó,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000014.wav,mì va rhúnè̩mè̩ rho̩erhò̩n,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000015.wav,ímá tíó únè̩mé̩ hi,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000016.wav,ó̩wán nó̩ ò̩mò̩rù du,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000017.wav,nó̩ goró ne̩é̩ rhòro,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000018.wav,ò̩rín hi mátio̩ únè̩mè̩,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000019.wav,únè̩mè̩ kíhin ínyèrò vbí benin e̩dó,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000020.wav,ímó̩ khùòjíé̩ hin màmá ròjìè,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000021.wav,ò̩házé̩ írherhe rin,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000022.wav,írherhe rin ójíé ègbèká rójíé rìn benin,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000023.wav,ús̩í ne ze̩ ìvbo̩ hi ówán nì vbó̩ gberami hi,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000024.wav,e̩rhà ò̩búru zébé jé̩ kò̩rin nòjìè,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000025.wav,ímé kparù hí benin òrin ò̩rè,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000026.wav,ò̩háze̩,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000027.wav,màmà rójíé hí benin une̩me̩ imó̩ khe,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000028.wav,érhà makhi ikpámakhin màigbáròjie,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000029.wav,órhàmì hí gòrò rákáyán obó̩ kàmá,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000030.wav,ímó̩ kòjìè rérò orhami hi benin,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000031.wav,ó̩mó̩ khuori órì ò̩ má ne̩rù orhàmì,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000032.wav,eé dumà vbi,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000033.wav,ojìè méhi dé muma ko,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000034.wav,ochio̩ mákáyán vbobó̩ kàmá,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000035.wav,màmí une̩me̩ lèkpa diavbi ú kurù,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000036.wav,s̩érhá kùrù vbàzè zè motó̩ khìávbi,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/000037.wav,ágbó̩ ná kpé̩kpé̩ vbikhiá sé̩wíté̩ híbuò,LAW,une001,,,natural,,naturalistic,test,dev,speaker-overlap auxiliary split; constrained speakers appear across splits,train
